"Main configuration", "Main configuration"
"<b>Important note:</b> To manage your blueCart configuration, please sign in at <a target='_blank' href='http://www.blueknow.com/customers/login'>Blueknow's dashboard</a>.","<b>Important note:</b> To manage your blueCart configuration, please sign in at <a target='_blank' href='http://www.blueknow.com/customers/login'>Blueknow's dashboard</a>."
"Version", "Version"
"Current version of the extension.", "Current version of the extension."
"Enable", "Enable"
"Activate/Deactivate Blueknow BlueCart.”, "Activate/Deactivate Blueknow BlueCart."
"Unique identifier assigned to this eCommerce.<br />Do you need one? Obtain it for free at <a href='http://www.blueknow.com?utm_source=magentocommerce.com&utm_medium=backoffice&utm_campaign=blueknow-magento-extension'>here</a>.", "Unique identifier assigned to this eCommerce.<br />Do you need one? Obtain it for free at <a href='http://www.blueknow.com?utm_source=magentocommerce.com&utm_medium=backoffice&utm_campaign=blueknow-magento-extension'>here</a>."
